UTM_E_wgs84,UTM_N_wgs84,Elevation,Ag_ppm,Cu_Rank_pp,Fe_pct
392958,7449832,1426.348105,-3,116,1.43
396187,7449342,1703.201403,-3,56150,6.42
396515,7449324,1613.542819,-3,42850,7.13
396236,7449145,1608.474786,4,167910,15
396480,7450255,1707.047135,-3,1969,15
396476,7450255,1705.504689,-3,40850,5.09
396179,7449428,1732.19292,-3,199,3.24
396101,7449398,1737.533157,-3,6120,2.89
396101,7449400,1738.443491,-3,7160,2.3
396191,7449349,1703.37521,-3,2090,4.71
396120,7449291,1682.830485,-3,1683,1.49
396234,7449145,1608.724802,-3,2568,8.82
396318,7449215,1614.106602,-3,4781,1.95
396388,7449256,1619.184131,-3,370,7.78
396513,7449333,1616.925845,-3,4087,11.04
396567,7449287,1601.239896,-3,58,1.92
396760,7449457,1620.356949,-3,44840,3.73
396760,7449456,1620.1378,-3,15580,15
396787,7449456,1608.662391,-3,198,5.91
396864,7449522,1608.426013,-3,59,6.88
397231,7450154,1580.044622,-3,643,7.06
397232,7450159,1580.883297,-3,3838,15
397218,7450158,1583.818781,-3,2507,2.42
397831,7449353,1447.253627,-3,117,15
396961,7449932,1620.450455,-3,23,1.03
396966,7450501,1659.113322,-3,84,14.06
397017,7450499,1646.978716,-3,48,3.41
397025,7450498,1645.439226,-3,27,3.28
397093,7450498,1629.058926,-3,234,3.4
397279,7450272,1580.57592,-3,43,10.9
397256,7451078,1679.854263,-3,23,1.56
395215,7449758,1594.542369,-3,108,1.24
395004,7449545,1591.515311,-3,43,1.32
394768,7449275,1580.404783,-3,84,2.95
395682,7451045,1592.580333,-3,15,1.18
395657,7450175,1615.63228,-3,101,5.33
396121,7450858,1633.416956,-3,34,6.36
397202,7453555,1596.008262,-3,14,2.57
397245,7453529,1607.039206,-3,53,2.04
396351,7454005,1591.240742,-3,79,4.8
396143,7450937,1624.461938,-3,52,2.21
395297,7453971,1558.686048,-3,19,3.08
395423,7453964,1567.565462,-3,27,6.76
395473,7453966,1572.289053,-3,85,9.05
395811,7453266,1655.439091,-3,184,1.52
394571,7452635,1517.205316,-3,9,2.48
394342,7448610,1675.883217,-3,9,1.49
394538,7448952,1658.805876,-3,18,1.33
393688,7449911,1485.258627,-3,627,4.08
392946,7450370,1406.70531,-3,31,0.92
393060,7450259,1420.757054,-3,30,2.03
394162,7450712,1507.286929,-3,101,2.31
394518,7451082,1530.08487,-3,68,1.12
393715,7449170,1615.268903,-3,43,1.73
393941,7449312,1574.566033,-3,233,4.86
393096,7448844,1500.04623,-3,32,1.03
392805,7449438,1443.563906,-3,69,0.82
392222,7448527,1437.250191,-3,27,0.53
393687,7449913,1486.160019,-3,311,10.91
393675,7449902,1481.682002,-3,1036,6.86
397273,7450270,1582.838122,-3,75,2.34
397194,7450411,1617.716655,-3,106,4.54
397184,7450406,1621.808597,-3,28,15
394982,7449525,1588.430771,-3,97,0.94
394765,7449260,1582.724374,-3,94,2.33
394703,7449272,1592.332642,5,285850,6.99
396157,7450202,1659.361651,-3,1016,10.6
397126.5336,7453488.431,1604.795776,0.05,285,4.43
396515.9802,7449323.282,1613.153087,0.19,8770,13.9
396184.7764,7449339.997,1703.522045,0.07,6070,4.92
397211.6118,7450171.185,1588.77888,0.07,10600,28.1
394704.0983,7449278.734,1590.739197,3.63,234000,12.95
